Step 2: Attribute Values,Step 2: Attribute Values
Comparable,Comparable
Searchable,Searchable
Scope,Scope
Visible,Visible
System,System
Required,Required
Attribute Label,Attribute Label
Attribute Code,Attribute Code
Selected Attributes:,Selected Attributes:
Step 1: Select Attributes,Step 1: Select Attributes
Next,Next
Back,Back
Cancel,Cancel
Summary,Summary
Select Attributes  ,Select Attributes  
Attribute Values,Attribute Values
Click here to add images.,Click here to add images.
Browse Files...,Browse Files...
Thumbnail,Thumbnail
Swatch,Swatch
Small,Small
Base,Base
Remove,Remove
Product Image,Product Image
Websites,Websites
Main Website,Main Website
Product in Websites,Product in Websites
Meta Description,Meta Description
Meta Keywords,Meta Keywords
Meta Title,Meta Title
Search Engine Optimization,Search Engine Optimization
Remove,Remove
Actions,Actions
Weight,Weight
Current Variations,Current Variations
Create Configurations,Create Configurations
Edit Configurations,Edit Configurations
Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color),Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color)
Configuration,Configuration
Short Description,Short Description
Content,Content
Country of Manufacture,Country of Manufacture
Not Visible Individually,Not Visible Individually
Catalog,Catalog
Search,Search
"Catalog, Search","Catalog, Search"
Visibility,Visibility
Set Product as New From :,Set Product as New From :
Taxable Goods,Taxable Goods
None,None
Tax Class,Tax Class
Out of Stock,Out of Stock
In Stock,In Stock
Stock Status,Stock Status
This item has no weight,This item has no weight
This item has weight,This item has weight
Categories,Categories
Enabled,Enabled
Disabled,Disabled
Enable Product,Enable Product
Enter Product Details,Enter Product Details
Add Option,Add Option
Manage Options (Values of Your Attribute),Manage Options (Values of Your Attribute)
Values Required : ,Values Required : 
Attribute Label : ,Attribute Label : 
Attribute Code :,Attribute Code :
Edit Attribute for Configurable Products,Edit Attribute for Configurable Products
Store URL,Store URL
Select Attribute Set,Select Attribute Set
Select Product Type,Select Product Type
Product Option,Product Option
Contact To Seller,Contact To Seller
Submit Enquire,Submit Enquire
Enquire,Enquire
Submit Your Query,Submit Your Query
Enquire submitted successfully to the seller,Enquire submitted successfully to the seller
Customer Enquire,Customer Enquire
Customer Name,Customer Name
Customer Email,Customer Email
Seller Products,Seller Products
Add Product,Add Product
No Product Found,No Product Found
Customer Enquiries,Customer Enquiries
Customer Enquiry,Customer Enquiry
No Customer Enquiries Added Yet,No Customer Enquiries Added Yet
Store Info,Store Info
View Store,View Store
Store Tax Identification Number,Store Tax Identification Number
Recomended Dimensions are 200 X 200,Recomended Dimensions are 200 X 200
Recomended Dimensions are 900 X 300(W X H),Recomended Dimensions are 900 X 300(W X H)
Submit,Submit
No file selected,No file selected
Commissions will update after order completion.,Commissions will update after order completion.
Seller Review,Seller Review
No Reviews Added Yet,No Reviews Added Yet
Attribute Set,Attribute Set
Create New Attribute Set,Create New Attribute Set
Attribute Set Name,Attribute Set Name
New Attribute Set,New Attribute Set
Create Attribute Set for Products :,Create Attribute Set for Products :
Attribute Set Name:,Attribute Set Name:
Based On :,Based On :
Configurable Attributes,Configurable Attributes
Create New Configurable Attributes,Create New Configurable Attributes
No Attributes Found,No Attributes Found
New Attribute,New Attribute
Create Attribute for Configurable Products : ,Create Attribute for Configurable Products : 
Attribute Code,Attribute Code
Attribute Set :,Attribute Set :
Delete,Delete
You really want to remove as seller ?,You really want to remove as seller ?
From,From
To,To
Order,Order
Date,Date
1 Item,1 Item
per page,per page
Show,Show
Seller Products,Seller Products
Add Product,Add Product
ID,ID
Name,Name
Type,Type
Attribute Set,Attribute Set
Action,Action
Edit,Edit
Delete,Delete
Item(s) ,Item(s) 
Total Price,Total Price
Edit Attribute Set for Products :,Edit Attribute Set for Products :
Edit Attribute Set,Edit Attribute Set
No Data Found,No Data Found
View,View
Edit Product,Edit Product
Order Status :,Order Status :
Order Date :,Order Date :
Create New Configurable Attributes,Create New Configurable Attributes
Attribute Code :,Attribute Code :
Attribute Set :,Attribute Set :
Store Email Id,Store Email Id
Contact Seller,Contact Seller
Enquiry,Enquiry
Submit Enquiry,Submit Enquiry
My Store,My Store
Product deleted successfully.,Product deleted successfully.
Product Id not found,Product Id not found
Something went wrong while deleting the Product.--------->,Something went wrong while deleting the Product.--------->
Product Type,Product Type
New Product,New Product
Attribute Code,Attribute Code
Default Label,Default Label
Required,Required
System,System
Something went wrong while saving the Product.--------->%s,Something went wrong while saving the Product.--------->%s
"Your seller account has been removed previously, so to again add as seller please select yes","Your seller account has been removed previously, so to again add as seller please select yes"
You saved the attribute set.,You saved the attribute set.
The Product has been saved.,The Product has been saved.
You saved the product attribute.,You saved the product attribute.
You deleted the product attribute.,You deleted the product attribute.
Thank you for registering with Main Website Store.,Thank you for registering with Main Website Store.
Elements,Elements
Manage Sellers,Manage Sellers
Manage Orders,Manage Orders
Manage Payments,Manage Payments
View Commission,View Commission
Customer Enquiries,Customer Enquiries
View Reviews,View Reviews
Settings,Settings
Add New Seller,Add New Seller
Seller ID,Seller ID
Seller Since,Seller Since
Web Site,Web Site
Store Status,Store Status
Is Seller,Is Seller
Account Lock,Account Lock
Create New Order,Create New Order
Purchase Date,Purchase Date
Bill-to Name,Bill-to Name
Grand Total (Base),Grand Total (Base)
Customer Group,Customer Group
Shipping and Handling,Shipping and Handling
Total Refunded,Total Refunded
ship-to Name,ship-to Name
Disapprove this Seller,Disapprove this Seller
Approve this Seller,Approve this Seller
Seller has been Approved.,Seller has been Approved.
Seller has been Disapproved.,Seller has been Disapproved.
Something went wrong while disapproving Seller.,Something went wrong while disapproving Seller.
Something went wrong while approving Seller.,Something went wrong while approving Seller.
This Payments no longer exists.,This Payments no longer exists.
New Payments,New Payments
Cannot delete Payment,Cannot delete Payment
Something went wrong while saving the Payments.,Something went wrong while saving the Payments.
The Payment has been saved.,The Payment has been saved.
Something went wrong while saving the Payment.,Something went wrong while saving the Payment.
Add New Payment,Add New Payment
Transaction Id,Transaction Id
Amount,Amount
Created,Created
We couldn't find any records.,We couldn't find any records.
Reviews,Reviews
Customer,Customer
Rating,Rating
Review Title,Review Title
Review Description,Review Description
Created at,Created at
General Configuration,General Configuration
Module Enable,Module Enable
License Key,License Key
License Status,License Status
Commission,Commission
Allow Seller to Manage Orders,Allow Seller to Manage Orders
Seller Approval Required,Seller Approval Required
Product Approval Required,Product Approval Required
Allow Category for Seller,Allow Category for Seller
Manage Links,Manage Links
Become Seller Show on Signup Page,Become Seller Show on Signup Page
Enable Header Link,Enable Header Link
Header Link Label,Header Link Label
Enable Footer Link,Enable Footer Link
Footer Link Label,Footer Link Label
Inventory,Inventory
Enable Low Notification,Enable Low Notification
Low Stock Quantity,Low Stock Quantity
Approval from Admin,Approval from Admin
Get this from Module Developer,Get this from Module Developer
In percent per product sale,In percent per product sale
Enable/Disable header link,Enable/Disable header link
Label/Title for header link.,Label/Title for header link.
Enable/Disable Footer link,Enable/Disable Footer link
Label/Title for footer link.,Label/Title for footer link.
Send low stock notification mail to sellers.,Send low stock notification mail to sellers.
Send low stock notification mail to sellers when product quantity will be equal or less then this quantity.,Send low stock notification mail to sellers when product quantity will be equal or less then this quantity.
Store Phone,Store Phone
Store State,Store State
Seller Information,Seller Information
Store Meta Descriptions,Store Meta Descriptions
Order Id,Order Id
Entity Id,Entity Id
Seller Reviews,Seller Reviews
Review Description ,Review Description 
Review Status ,Review Status 
Seller Payments,Seller Payments
Entity Idd,Entity Idd
Assign Categories,Assign Categories
Assign Seller Products,Assign Seller Products
Product Price,Product Price
Purchased,Purchased
Ship-to Name,Ship-to Name
Purchase Point,Purchase Point
Create Payment,Create Payment
Seller Orders,Seller Orders
Assign Selected Products,Assign Selected Products
Unassign Selected Products,Unassign Selected Products
Save Payments,Save Payment
Payments Information,Payments Information
Shipping Rates,Shipping Rates
Edit Shipping Rate,Edit Shipping Rate
New Shipping Rate,New Shipping Rate
Country,Country : 
All Countries,All Countries
Region,Region : 
All Regions,All Regions
Leave blank or use * for All Zipcodes.,Leave blank or use * for All Zipcodes.
Weight (and above),Weight (and above)
Order Subtotal (and above),Order Subtotal (and above)
# of Items (and above),# of Items (and above)
Shipping Price : ,Shipping Price : 
Add Shipping Rate,Add Shipping Rate
Export CSV,Export CSV
Import,Import
Zip/Postal Code,Zip/Postal Code
Shipping Rates Record,Shipping Rates Record
All,All
No Shipping Rates Added Yet,No Shipping Rates Added Yet
